id,time_observed_at,user_id
22277087,2019-04-28 12:01:16 UTC,1595601
22364809,2019-04-28 12:09:02 UTC,1595601
22605691,2019-04-28 15:02:10 UTC,1595601
22606216,,1595601
22933191,,1595601
22992173,2019-04-28 13:02:28 UTC,1595601
23100408,2019-04-26 04:54:07 UTC,1613966
23100492,2019-04-26 04:56:38 UTC,1613966
23100536,2019-04-26 04:58:02 UTC,1613966
23102197,2019-04-26 05:20:55 UTC,1665840
23103019,2019-04-26 07:54:34 UTC,1624432
23104837,2019-04-26 06:20:00 UTC,1653354
23105316,2019-04-26 08:47:10 UTC,1617933
23105351,2019-04-26 08:48:07 UTC,1624432
23105461,2019-04-26 08:31:08 UTC,1624432
23105729,2019-04-26 08:30:56 UTC,1624432
23105900,2019-04-26 06:04:25 UTC,1501284
23106016,2019-04-26 07:01:46 UTC,1501284
23106138,2019-04-26 07:04:39 UTC,842327
23106139,2019-04-26 08:30:34 UTC,1624432
23106191,2019-04-26 07:06:11 UTC,842327
23106212,2019-04-26 07:07:01 UTC,842327
23106313,2019-04-26 09:10:21 UTC,1624432
23107186,2019-04-26 06:50:58 UTC,137006
23107191,2019-04-26 06:55:13 UTC,137006
23107196,2019-04-26 06:57:04 UTC,137006
23107203,2019-04-26 06:58:02 UTC,137006
23107213,2019-04-26 07:00:08 UTC,137006
23107248,2019-04-26 07:02:44 UTC,137006
23107258,2019-04-26 07:10:00 UTC,137006
23107272,2019-04-26 07:13:48 UTC,137006
23107289,2019-04-26 07:14:58 UTC,137006
23107306,2019-04-26 07:20:56 UTC,137006
23107351,2019-04-26 08:30:27 UTC,1624432
23108527,2019-04-26 07:57:46 UTC,1617064
23108540,2019-04-26 07:58:21 UTC,1617064
23108560,2019-04-26 07:58:55 UTC,1617064
23108575,2019-04-26 07:59:12 UTC,1617064
23108583,2019-04-26 07:59:34 UTC,1617064
23108635,2019-04-26 07:59:53 UTC,1617064
23108653,2019-04-26 08:00:35 UTC,1617064
23108693,2019-04-26 08:01:12 UTC,353381
23108742,2019-04-26 08:01:01 UTC,1617064
23108764,2019-04-26 08:03:29 UTC,1617064
23108958,2019-04-26 09:08:42 UTC,1257486
